Title,Ratings,Original_Price,Discounted_Price,Link
fresho!Pav 300 g + Fresho Organic Salted Butter 100 gCombo - 2 Items,NA,NA,₹159,https://bigbasket.in/pd/1211972/fresho-pav-300-g-fresho-organic-salted-butter-100-g-combo/?nc=extended_list&t_pos_sec=2&t_pos_item=22&t_s=Pav+300+g+%252B+Fresho+Organic+Salted+Butter+100+g
"ANB AMOREMulti Grain - Refined, With Protein Carbs400 g",NA,NA,NA,https://bigbasket.in/pd/40283416/anb-amore-multi-grain-refined-with-protein-carbs-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=23&t_s=Multi+Grain+-+Refined%252C+With+Protein+Carbs
AJITSandwich Bread4252 Ratings600 g,4,NA,₹60,https://bigbasket.in/pd/40184588/ajit-sandwich-bread-600-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=28&t_s=Sandwich%2520Bread
KABHI BKrustless Bread3.796 Ratings300 g,3.7,NA,₹50,https://bigbasket.in/pd/40186956/kabhi-b-krustless-bread-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=29&t_s=Krustless%2520Bread
Fresh ChoiceMilk Bread3.91237 Ratings260 g,3.9,NA,₹45,https://bigbasket.in/pd/40074775/fresh-choice-bread-milk-260-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=30&t_s=Milk%2520Bread
"DinshawsSandwich Bread - Made With Refined Wheat Flour, Soft & Thick Slices3.8256 Ratings600 g",3.8,NA,₹60,https://bigbasket.in/pd/40246802/dinshaws-sandwich-bread-made-with-refined-wheat-flour-soft-thick-slices-600-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=12&t_s=Sandwich+Bread+-+Made+With+Refined+Wheat+Flour%252C+Soft+%2526+Thick+Slices
GomtiGHNPL-Shaanegomti Premium Bread3.864 Ratings360 g,3.8,NA,₹40,https://bigbasket.in/pd/40200356/gomti-healthy-shaan-e-gomti-450-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=31&t_s=GHNPL-Shaanegomti%2520Premium%2520Bread
"DinshawsMilk Bread - Baked, Soft, No Trans Fat & Preservative Free487 Ratings300 g",4,NA,₹35,https://bigbasket.in/pd/40246804/dinshaws-milk-bread-baked-soft-no-trans-fat-preservative-free-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=32&t_s=Milk%2520Bread%2520-%2520Baked%252C%2520Soft%252C%2520No%2520Trans%2520Fat%2520%2526%2520Preservative%2520Free
AJITMilk Bread3.9183 Ratings300 g,3.9,NA,₹35,https://bigbasket.in/pd/40184591/ajit-milk-bread-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=33&t_s=Milk%2520Bread
Bonn BreadBread - Premium Sandwich Special3.9262 Ratings400 g,3.9,NA,₹40,https://bigbasket.in/pd/40051013/bonn-bread-sandwich-special-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=34&t_s=Bread%2520-%2520Premium%2520Sandwich%2520Special
AabadFruit Bread3.7180 Ratings100 g,3.7,NA,₹15,https://bigbasket.in/pd/40053996/aabad-frooti-bread-100-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=35&t_s=Fruit%2520Bread
